trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
120,False,"{'a': 0.5, 'e': 0.5488116360940265}",30,0,-4.193277668967684,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.5460744266397094}",20,1,-37.780437072322535,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.5, 'e': 0.5433508690744998}",25,15,-94.412241769923,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 2}",1
123,False,"{'a': 0.5, 'e': 0.5406408953093166}",25,0,3.716336854413342,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.5379444375946745}",25,19,-2.624953106292966,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.5352614285189903}",30,8,-36.850911794578835,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.5325918010068972}",30,1,-52.648047673273005,"{0: 24, 1: 0, 2: 2, 3: 3, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.5299354883175685}",20,6,2.637786882005444,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.5272924240430485}",30,0,-53.203487439889756,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.5246625421065929}",25,0,-25.85326920140671,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.522045776761016}",25,0,-76.83859308657401,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
131,False,"{'a': 0.5, 'e': 0.5194420625870482}",30,2,29.859587936783115,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.5168513344916993}",25,17,0.8607125124127313,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.5142735277066319}",35,26,-7.918168261680336,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.5117085777865424}",20,15,-2.62740574339906,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.5091564206075492}",25,4,-83.49134049404262,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 2}",1
136,False,"{'a': 0.5, 'e': 0.5066169923655897}",20,7,-44.09943511773925,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.5040902295748255}",25,0,-77.0441979075378,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",0
138,False,"{'a': 0.5, 'e': 0.5015760690660556}",20,14,10.096135250396348,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.49907444798513595}",20,0,-70.17336324909994,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
140,False,"{'a': 0.5, 'e': 0.4965853037914095}",25,2,-14.589468057803371,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
141,False,"{'a': 0.5, 'e': 0.49410857425614174}",20,0,-15.038956382705004,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.49164419746096516}",30,19,9.965026340444956,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.48919211179633154}",20,3,-15.555653384772537,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.4867522559599717}",25,3,-23.013774817333406,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
145,False,"{'a': 0.5, 'e': 0.4843245689553625}",30,13,-123.96694845877688,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 2}",1
146,False,"{'a': 0.5, 'e': 0.48190899009020244}",20,0,-3.7905987153732137,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.4795054589748941}",20,0,-26.700365183249133,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.47711391552103444}",20,11,17.222143967635642,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.47473429993991245}",25,0,-108.77477070583996,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.47236655274101474}",30,13,-5.7518260894270075,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.470010614730538}",25,10,-63.615917764335975,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.46766642700990924}",25,0,-9.156176440275855,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
153,False,"{'a': 0.5, 'e': 0.4653339309743134}",20,0,-21.61495984271669,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.46301306831122807}",20,0,-92.42158590975127,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.4607037809989658}",30,0,-19.911995548254733,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.45840601130522357}",30,3,6.6050824373224115,"{0: 24, 1: 0, 2: 3, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.45611970178563926}",25,10,14.634002677217913,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.45384479528235583}",25,0,-59.882742042799926,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.4515812349225922}",20,0,-35.40865611626355,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.44932896411722156}",35,26,14.954102688567165,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.4470879265593564}",25,20,10.164213602827123,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.4448580662229411}",25,0,-138.34264199447375,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.4426393273613511}",25,0,13.438978369126126,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
